"National Pokédex
number",English,Notes
1,Bulbasaur,"Reception to Bulbasaur has been largely positive and it often appears in ""top Pokémon lists"".[3][4] Its English name is a portmanteau of ""bulb"" and ""dinosaur"".[5] It shares its category with Ivysaur, Venusaur and Sunkern. They are all known as the Seed Pokémon. One of the Kanto starter Pokémon."
2,Ivysaur,"Playable character in Super Smash Bros. Brawl and Super Smash Bros. Ultimate as a part of the ""Pokémon Trainer"" fighter. Its English name is a portmanteau of ""ivy"" and ""dinosaur"".[6] It was one of the earliest Pokémon, and the first member of its line, created."
3,Venusaur,"Its English name is a portmanteau of ""Venus"" (relating to the Venus flytrap) and ""dinosaur"". It is the mascot of Pokémon Green and LeafGreen.[7] It is based on the Pareiasaur."
4,Charmander,"Charmander is a bipedal, salamander-like creature with a flame at the tip of its tail. Its English name is a portmanteau of ""char"" and ""salamander"". One of the Kanto starters.[8]"
5,Charmeleon,"Charmeleon shares a similar design to Charmander, though is larger in stature. Its English name is a portmanteau of ""char"" and ""chameleon"".[9]"
6,Charizard,"Playable character as a part of the ""Pokémon Trainer"" fighter in Super Smash Bros. Brawl and Super Smash Bros. Ultimate, as well as a standalone fighter in Super Smash Bros. for Nintendo 3DS and Wii U. Its English name is a portmanteau of ""char"" and ""lizard"".[10] Its Gigantamax Form has literal fire for wings and has fire coming out of its body. Mascot of Pokémon Red and FireRed. Until X and Y's release, Charizard only had the appearance of a dragon but could not be a Dragon-type in the games."
7,Squirtle,"Playable character in Super Smash Bros. Brawl and Super Smash Bros. Ultimate as a part of the ""Pokémon Trainer"" fighter. Its English name is a portmanteau of ""squirt"" and ""turtle"". One of the Kanto starters.[11]"
8,Wartortle,"Its English name is a portmanteau of ""war"", ""tortoise"" and ""turtle"".[12] It was originally supposed to have an entirely different final evolution that looked more like its pre-evolved forms."
9,Blastoise,"Its English name is a portmanteau of ""blast"" and ""tortoise"". Mascot of Pokémon Blue.[16] In early stages of Red and Green's development, Blastoise was originally separate from the Squirtle line and was called ""Caravaggio"", which is believed to be a reference to the Teenage Mutant Ninja Turtles franchise.A Blastoise trading card, originally made as a test print before the commercial English cards, was sold for $360,000 in 2021.[17]"
10,Caterpie,"To avoid predators, it releases an odor that makes bird Pokémon think twice about going after it. Considered to be an alternative to Weedle. Appearance is based on the Easter Tiger Swallowtail."
